subj,block,goals,perfs,emots
10,3,6,7,-0.3333333333333333
10,4,6,6,0.0
10,5,6,6,-0.3333333333333333
10,6,6,7,0.0
10,7,6,7,0.3333333333333333
10,8,6,7,0.3333333333333333
10,9,6,6,0.3333333333333333
10,10,6,8,0.3333333333333333
10,11,6,7,0.3333333333333333
10,12,6,6,0.3333333333333333
10,13,6,8,1.3333333333333333
10,14,6,7,1.0
10,15,6,7,0.6666666666666666
10,16,6,7,0.6666666666666666
10,17,6,7,0.3333333333333333
10,18,6,7,0.6666666666666666
10,19,6,7,-0.3333333333333333
10,20,6,7,0.3333333333333333
11,1,8,10,1.3333333333333333
11,2,7,11,1.3333333333333333
11,3,8,13,1.0
11,4,11,11,1.0
11,5,10,10,0.6666666666666666
11,6,8,10,0.6666666666666666
11,7,9,9,0.6666666666666666
11,8,8,10,0.6666666666666666
11,9,9,9,2.0
11,10,8,10,0.6666666666666666
11,11,8,11,0.6666666666666666
11,12,8,10,0.6666666666666666
11,13,9,9,0.6666666666666666
11,14,7,8,0.3333333333333333
11,15,7,8,0.3333333333333333
11,16,8,9,0.3333333333333333
11,17,8,9,0.6666666666666666
11,18,8,8,0.6666666666666666
11,19,7,8,0.6666666666666666
11,20,7,10,0.3333333333333333
12,1,5,3,-0.6666666666666666
12,2,4,4,1.3333333333333333
12,3,5,1,1.0
12,4,4,3,-0.6666666666666666
12,5,3,3,1.3333333333333333
12,6,3,2,0.0
12,7,3,7,1.3333333333333333
12,8,4,3,-0.6666666666666666
12,9,4,2,-1.3333333333333333
12,10,3,4,0.3333333333333333
12,11,3,4,0.3333333333333333
12,12,4,1,-2.0
12,13,3,7,-0.3333333333333333
12,14,4,7,1.0
12,15,4,3,-1.3333333333333333
12,16,4,3,-1.6666666666666667
12,17,4,5,0.3333333333333333
12,18,4,4,-0.6666666666666666
12,19,4,5,0.3333333333333333
12,20,5,8,1.0
13,1,3,6,2.0
13,2,3,7,2.0
13,3,4,6,2.0
13,4,4,7,2.0
13,5,4,7,2.0
13,6,5,6,2.0
13,7,5,6,2.0
13,8,5,7,2.0
13,9,5,7,2.0
13,10,5,5,2.0
13,11,5,6,2.0
13,12,5,7,2.0
13,13,5,7,2.0
13,14,5,6,2.0
13,15,5,6,2.0
13,16,5,6,2.0
13,17,5,7,2.0
13,18,5,8,2.0
13,19,5,6,2.0
13,20,5,7,2.0
14,1,4,3,1.6666666666666667
14,2,3,5,1.6666666666666667
14,3,5,4,1.6666666666666667
14,4,4,4,1.6666666666666667
14,5,4,3,1.3333333333333333
14,6,3,4,1.3333333333333333
14,7,3,4,1.6666666666666667
14,8,4,4,1.6666666666666667
14,9,4,2,1.3333333333333333
14,10,2,4,1.3333333333333333
14,11,3,3,1.3333333333333333
14,12,4,5,1.3333333333333333
